Neighborhood,City,State,County,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
Upper West Side,New York,NY,New York,3200,3200,3175,3200,3260,3235
Upper East Side,New York,NY,New York,2700,2695,2650,2600,2649,2687.5
Washington Heights,New York,NY,New York,1695,1675,1700,1700,1700,1712.5
Astoria,New York,NY,Queens,1900,1900,1950,1950,1950,1900
Williamsburg,New York,NY,Kings,2795,2800,2700,2747.5,2750,2700
Bedford Stuyvesant,New York,NY,Kings,2000,2000,2095,2100,2100,2149.5
Flatbush,New York,NY,Kings,1699,1700,1699.5,1700,1699.5,1699
Crown Heights,New York,NY,Kings,1850,1850,1950,2000,1999,2000
Jamaica,New York,NY,Queens,1759,1750,1759,1750,1759,1750
Harlem,New York,NY,New York,1952.5,1950,1950,2000,2100,2000
Williamsbridge,New York,NY,Bronx,1425,1450,1475,1450,1415.5,1415.5
East Harlem,New York,NY,New York,2347.5,2352,2300,2295,2300,2354
Bushwick,New York,NY,Kings,2000,2000,2100,2100,2031,2200
East Flatbush,New York,NY,Kings,1500,1575,1550,1550,1625,1612.5
Corona,New York,NY,Queens,1825,1795,1795,1745,1735,1750
Concourse,New York,NY,Bronx,1500,1500,1500,1497.5,1450,1425
Borough Park,New York,NY,Kings,1525,1500,1500,1550,1572.5,1600
Elmhurst,New York,NY,Queens,1750,1750,1730,1753,1750,1697.5
Bensonhurst,New York,NY,Kings,1550,1550,1595,1590,1599,1599
Soundview,New York,NY,Bronx,1450,1450,1450,1550,1570,1525
Lower East Side,New York,NY,New York,2500,2500,2500,2595,2550,2595
Flushing,New York,NY,Queens,1800,1850,1800,1800,1800,1800
Murray Hill,New York,NY,Queens,1750,1750,1750,1750,1700,1750
Sheepshead Bay,New York,NY,Kings,1665,1665,1670,1675,1675,1675
Gravesend,New York,NY,Kings,1625,1600,1600,1600,1600,1650
Forest Hills,New York,NY,Queens,1825,1850,1850,1850,1850,1875
East Village,New York,NY,New York,2774,2800,2795,2800,2795,2795
Ridgewood,New York,NY,Queens,1975,1950,1775,1790,1800,1825
Jackson Heights,New York,NY,Queens,1795,1800,1800,1795,1762,1764
Midwood,New York,NY,Kings,1649.5,1595,1649,1565,1550,1625
Park Slope,New York,NY,Kings,2450,2400,2434,2500,2500,2500
Gramercy,New York,NY,New York,3295,3314,3314,3314,3350,3348.5
Richmond Hill,New York,NY,Queens,1600,1525,1600,1575,1500,1574.5
Bay Ridge,New York,NY,Kings,1650,1650,1650,1650,1650,1700
Tremont,New York,NY,Bronx,1450,1450,1450,1450,1400,1425
Kensington,New York,NY,Kings,1775,1970,1892,1800,1775,1800
Bath Beach,New York,NY,Kings,1600,1599.5,1600,1550,1550,1550
University Heights,New York,NY,Bronx,1450,1450,1450,1450,1450,1437.5
Bayside,New York,NY,Queens,1700,1700,1700,1700,1775,1715
Bedford Park,New York,NY,Bronx,1500,1500,1500,1500,1450,1495
Maspeth,New York,NY,Queens,1575,1600,1600,1600,1600,1650
Hamilton Heights,New York,NY,New York,1750,1862.5,1850,1850,1900,1895
Chelsea,New York,NY,New York,3850,3837,3882.5,3835,3795,3795
Woodside,New York,NY,Queens,1660,1660,1750,1775,1762.5,1750
Fordham,New York,NY,Bronx,1450,1500,1495,1450,1500,1512
Sunnyside,New York,NY,Queens,1872.5,1875,1810,1825,1850,1800
Greenwich Village,New York,NY,New York,3300,3450,3450,3400,3395,3399.5
Rego Park,New York,NY,Queens,1797.5,1800,1845,1844,1800,1927.5
Morningside Heights,New York,NY,New York,2895,2850,2995,2799.5,2775,2800
Kew Gardens Hills,New York,NY,Queens,1725,1750,1750,1750,1750,1800
Morris Heights,New York,NY,Bronx,1595,1500.5,1499,1572.5,1500,1500
Parkchester,New York,NY,Bronx,1400,1400,1425,1400,1400,1400
Woodhaven,New York,NY,Queens,1650,1650,1650,1650,1600,1650
Inwood,New York,NY,New York,1500,1600,1575,1650,1654.5,1650
Norwood,New York,NY,Bronx,1482.5,1500,1462.5,1400,1450,1450
Dyker Heights,New York,NY,Kings,1525,1500,1500,1575,1587,1600
Morris Park,New York,NY,Bronx,1575,1500,1550,1600,1600,1512.5
Throggs Neck,New York,NY,Bronx,1500,1500,1500,1500,1500,1500
Fort Greene,New York,NY,Kings,2847,2795,3054.5,3104.5,3022.5,3059
Greenwood,New York,NY,Kings,1975,1900,1975,1975,2125,2249
Greenpoint,New York,NY,Kings,2300,2295,2300,2300,2300,2366.5
Kingsbridge,New York,NY,Bronx,1472.5,1500,1480,1500,1500,1495
Glendale,New York,NY,Queens,1650,1612.5,1600,1650,1650,1625
Prospect Lefferts Gardens,New York,NY,Kings,1925,1925,1837.5,1850,1950,1950
Homecrest,New York,NY,Kings,1649,1650,1600,1620,1600,1695
Fort Hamilton,New York,NY,Kings,1650,1625,1637,1650,1650,1650
Financial District,New York,NY,New York,3527.5,3570,3540,3575,3584,3680
Briarwood,New York,NY,Queens,1685,1699,1700,1700,1700,1700
Brighton Beach,New York,NY,Kings,1850,1850,1850,1850,1885,1895
Auburndale,New York,NY,Queens,1600,1600,1600,1600,1600,1575
Flatiron District,New York,NY,New York,3975,3950,4000,4005,4133,4188
Pelham Bay,New York,NY,Bronx,1500,1550,1500,1500,1500,1450
Clinton Hill,New York,NY,Kings,2406,2475,2500,2502.5,2550,2500
West Village,New York,NY,New York,3500,3501.5,3575,3550,3595,3500
Kew Gardens,New York,NY,Queens,1650,1700,1750,1718,1725,1750
Brooklyn Heights,New York,NY,New York,2962.5,3000,2900,2900,2979,2998.5
Sutton Place,New York,NY,New York,3300,3300,3300,3350,3297.5,3285
Unionport,New York,NY,Bronx,1375,1400,1425,1412.5,1450,1450
Gowanus,New York,NY,Kings,2676.5,2600,2450,2550,2768,2800
Prospect Heights,New York,NY,Kings,2587,2547.5,2475,2450,2637.5,2680
Turtle Bay,New York,NY,New York,3000,3070,3000,3000,3147.5,3100
Midtown,New York,NY,New York,3447.5,3495,3495,3458,3495,3541
Tribeca,New York,NY,New York,4295,4272.5,4295,4395,4450,4450
Spuyten Duyvil,New York,NY,Bronx,1900,1837.5,1881.5,1950,1962.5,1962.5
Carnegie Hill,New York,NY,New York,2617.5,2750,2692.5,2685,2600,2750
Tudor City,New York,NY,New York,2974,3050,3050,3100,3440,3453.5
Battery Park,New York,NY,New York,3665,3762.5,3825,3870,3760.5,3850
Carroll Gardens,New York,NY,Kings,2600,2597.5,2500,2500,2500,2600
Boerum Hill,New York,NY,Kings,2425,2427.5,2450,2600,2800,2700
SoHo,New York,NY,New York,2972.5,3000,3000,3200,3000,3000
Hunters Point,New York,NY,Queens,2838,2875,2897,2896.5,2950,2995
Murray Hill,New York,NY,New York,3350,3325,3400,3400,3400,3397.5
Downtown,New York,NY,Kings,3132.5,3095,3146,3239,3330,3374
Little Italy,New York,NY,New York,3174.5,3125,3199,3174.5,3199,3200
Cobble Hill,New York,NY,Kings,2600,2600,2700,2750,2800,2775
NoHo,New York,NY,New York,3795,3850,3785,3924.5,3950,3850
Garment District,New York,NY,New York,3600,3625,3615,3593,3627.5,3750
Central Park,New York,NY,New York,2995,3074,3074,2995,2995,3137